park_id,park_name,ha,latitude,longitude,st_point,description,nature_count,art_count,urban_count,task_richness_score,category_diversity_score,richness_score_norm,area_score,park_suitability_score,feature_summary
1,Alexandra Gardens,5.7493,-37.82140175342995,144.97338326664902,POINT(144.97338326664902 -37.82140175342995),"Alexandra Gardens is a public park in Melbourne, Melbourne.",3.0,0.0,0.0,3.0,0.333,0.3,0.5749299999999999,0.365,This park contains 3 nature features.
2,Alexandra Park,4.8691,-37.824079314048966,144.9774328963564,POINT(144.9774328963564 -37.824079314048966),"Alexandra Park is a public park in Melbourne, Melbourne.",0.0,1.0,0.0,1.0,0.333,0.1,0.48691000000000006,0.247,This park contains 1 art features.
3,Argyle Square,1.3297,-37.80274045819908,144.96583511130223,POINT(144.96583511130225 -37.802740458199075),"Argyle Square is a public park in Melbourne, Melbourne.",2.0,1.0,0.0,3.0,0.667,0.3,0.13297,0.377,"This park contains 2 nature features, 1 art features."
4,Auckland Lane Reserve,0.0323,-37.77798700546881,144.9389399141761,POINT(144.9389399141761 -37.77798700546881),"Auckland Lane Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.0032300000000000002,0.001,No matched task features in this park yet.
5,Batman Park,1.4328,-37.82178529606905,144.9566130685186,POINT(144.9566130685186 -37.82178529606905),"Batman Park is a public park in Melbourne, Melbourne.",1.0,0.0,0.0,1.0,0.333,0.1,0.14328000000000002,0.179,This park contains 1 nature features.
6,Bayswater Road Park,0.2711,-37.79374099588292,144.9237698641406,POINT(144.9237698641406 -37.79374099588292),"Bayswater Road Park is a public park in Melbourne, Melbourne.",1.0,0.0,0.0,1.0,0.333,0.1,0.027110000000000002,0.155,This park contains 1 nature features.
7,Bedford Street Reserve,0.0997,-37.80281461224497,144.9555073658568,POINT(144.9555073658568 -37.80281461224497),"Bedford Street Reserve is a public park in Melbourne, Melbourne.",1.0,0.0,0.0,1.0,0.333,0.1,0.00997,0.152,This park contains 1 nature features.
8,Birrarung Marr,8.1119,-37.81890622464687,144.9738236456279,POINT(144.9738236456279 -37.81890622464687),"Birrarung Marr is a public park in Melbourne, Melbourne.",4.0,6.0,0.0,10.0,0.667,1.0,0.8111900000000001,0.862,"This park contains 4 nature features, 6 art features."
9,Buluk Park,0.3797,-37.82039079299272,144.94071832919877,POINT(144.94071832919875 -37.82039079299272),"Buluk Park is a public park in Melbourne, Melbourne.",3.0,0.0,0.0,3.0,0.333,0.3,0.03797,0.257,This park contains 3 nature features.
10,Burston Reserve,0.1894,-37.81142044443343,144.97522970425274,POINT(144.97522970425274 -37.81142044443343),"Burston Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.018940000000000002,0.004,No matched task features in this park yet.
11,Canning & Neill Street Reserve,0.1897,-37.79314944767447,144.97410414772014,POINT(144.97410414772014 -37.79314944767447),"Canning & Neill Street Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.01897,0.004,No matched task features in this park yet.
12,Canning & Palmerston Street Reserve,0.0405,-37.79631051100726,144.9728447048824,POINT(144.9728447048824 -37.79631051100726),"Canning & Palmerston Street Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.00405,0.001,No matched task features in this park yet.
13,Canning Street & Macaulay Road Reserve,0.1764,-37.79579442506432,144.93976667764875,POINT(144.93976667764875 -37.795794425064315),"Canning Street & Macaulay Road Reserve is a public park in Melbourne, Melbourne.",1.0,0.0,0.0,1.0,0.333,0.1,0.01764,0.153,This park contains 1 nature features.
14,Carlton Gardens North,7.1167,-37.80196385653347,144.97195227866774,POINT(144.97195227866774 -37.80196385653347),"Carlton Gardens North is a public park in Melbourne, Melbourne.",13.0,0.0,0.0,13.0,0.333,1.0,0.71167,0.742,This park contains 13 nature features.
15,Carlton Gardens South,8.8109,-37.80629946165889,144.97123206483835,POINT(144.97123206483835 -37.80629946165889),"Carlton Gardens South is a public park in Melbourne, Melbourne.",10.0,2.0,0.0,12.0,0.667,1.0,0.88109,0.876,"This park contains 10 nature features, 2 art features."
16,Carrangall Place Reserve,0.0405,-37.7798323440471,144.94124178055557,POINT(144.94124178055557 -37.7798323440471),"Carrangall Place Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.00405,0.001,No matched task features in this park yet.
17,Chapman Street Reserve,0.1437,-37.798205012027765,144.95058555916913,POINT(144.95058555916913 -37.798205012027765),"Chapman Street Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.014369999999999999,0.003,No matched task features in this park yet.
18,Childrens Garden Area,0.4407,-37.8303954534704,144.97646065429277,POINT(144.97646065429277 -37.8303954534704),"Childrens Garden Area is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.04407,0.009,No matched task features in this park yet.
