park_id,park_name,feature_source,feature_name,feature_category,series_id,latitude,longitude
8,Birrarung Marr,artwork,Federation Bells,art,3,-37.8187207058813,144.974110660022
125,University Square,artwork,Thomas Ferguson Memorial Drinking Fountain,art,3,-37.8015394618203,144.960227228018
93,Queen Victoria Gardens & Memorial Statue,artwork,The Water Nymph,art,3,-37.8222098236425,144.971335339413
27,Docklands Park,artwork,Blowhole,art,3,-37.8219524131263,144.946745954515
20,City Square,artwork,Mockridge Fountain,art,3,-37.8155224156707,144.966994359113
31,Enterprize Park,artwork,Scar - A Stolen Vision,art,3,-37.8202412036118,144.959153249799
8,Birrarung Marr,artwork,Speakers Corner,art,3,-37.8200825876335,144.975716740604
63,Kings Domain South (Monash and Malta Monuments),artwork,Nurse Edith Cavell,art,3,-37.8279878719975,144.973699196119
124,Treasury Gardens,artwork,John F. Kennedy Memorial,art,3,-37.8136597830075,144.976354519479
36,Fitzroy Gardens,artwork,Fairies Tree,art,3,-37.8134099807547,144.98110228888
37,Flagstaff Gardens,artwork,The Court Favourite,art,3,-37.81026401562,144.955039032582
31,Enterprize Park,artwork,Constellation,art,3,-37.8202715915496,144.960597777255
36,Fitzroy Gardens,artwork,Mary Gilbert Memorial,art,3,-37.8140756651063,144.97856026709
70,Macarthur Square,artwork,William Ievers Junior Memorial Drinking Fountain,art,3,-37.7982578658973,144.970564664826
122,The Kings Domain Reserve,artwork,South African War Memorial,art,3,-37.8259414951225,144.971856818756
36,Fitzroy Gardens,artwork,People's Path,art,3,-37.8110235407409,144.978389216138
124,Treasury Gardens,artwork,Robert Burns Memorial,art,3,-37.814373582353,144.974720032667
36,Fitzroy Gardens,artwork,Boy on a Turtle,art,3,-37.8143892616922,144.979910150531
122,The Kings Domain Reserve,artwork,"Sir Edward ""Weary"" Dunlop",art,3,-37.8253098347073,144.971594300075
93,Queen Victoria Gardens & Memorial Statue,artwork,King Edward VII Memorial,art,3,-37.8226717982934,144.970988232874
8,Birrarung Marr,artwork,Birrarung Wilam,art,3,-37.818595693813,144.971821646868
36,Fitzroy Gardens,artwork,Dolphin Fountain,art,3,-37.8118884344659,144.980015806146
54,J J Holland Park,artwork,Commonwealth Games Aquatic Sculptures - Eels,art,3,-37.7966290593729,144.924306764698
8,Birrarung Marr,artwork,Eel Trap,art,3,-37.8191221824373,144.97407578866
36,Fitzroy Gardens,artwork,Boy and Pelican,art,3,-37.8137675376712,144.982771754404
93,Queen Victoria Gardens & Memorial Statue,artwork,Queen Victoria Memorial,art,3,-37.8218411817137,144.972479044613
37,Flagstaff Gardens,artwork,Separation Memorial,art,3,-37.810695135969,144.953685908935
37,Flagstaff Gardens,artwork,Sundial,art,3,-37.8103161768399,144.954937553695
124,Treasury Gardens,artwork,Horse Hitching Post,art,3,-37.8150299769363,144.974931527616
27,Docklands Park,artwork,Reed Vessel,art,3,-37.8202323424168,144.946325127609
127,Victoria Market Reserve,artwork,Island Wave,art,3,-37.809326383142,144.958057203226
122,The Kings Domain Reserve,artwork,Sir John Monash,art,3,-37.8267733497848,144.97275207638
129,Weedon Reserve,artwork,Motorcycle,art,3,-37.8170400389729,144.989581102887
63,Kings Domain South (Monash and Malta Monuments),artwork,Edward George Honey Memorial,art,3,-37.8297554405406,144.974419726206
106,Scots Church,artwork,Georges Fountain,art,3,-37.8147653368517,144.968373912562
36,Fitzroy Gardens,artwork,Model Tudor Village,art,3,-37.8132572520671,144.981012379899
3,Argyle Square,artwork,William Ievers Senior Memorial Drinking Fountain,art,3,-37.8028341939653,144.966385536842
93,Queen Victoria Gardens & Memorial Statue,artwork,Apollo Belvedere,art,3,-37.8210593434182,144.969757432433
101,Royal Park,artwork,George Hawkins Ievers Memorial Drinking Fountain,art,3,-37.7921729538839,144.958090253028
36,Fitzroy Gardens,artwork,Diana and the Hounds,art,3,-37.8143067586398,144.978499373084
122,The Kings Domain Reserve,artwork,Pioneer Women's Memorial,art,3,-37.8251147378564,144.976076213311
93,Queen Victoria Gardens & Memorial Statue,artwork,Lake Waterfall,art,3,-37.822086065767,144.971811018826
124,Treasury Gardens,artwork,Sir William John Clarke,art,3,-37.8136729461963,144.97434487547
93,Queen Victoria Gardens & Memorial Statue,artwork,Water Children,art,3,-37.8221241223436,144.970661980986
122,The Kings Domain Reserve,artwork,Sir Thomas Blamey Memorial,art,3,-37.8263011410214,144.972818912121
36,Fitzroy Gardens,artwork,Australia Today and Tomorrow,art,3,-37.8118220481066,144.982657048965
34,Exhibition Street Reserve,artwork,Grant's Fountain,art,3,-37.8074703867589,144.968593306036
36,Fitzroy Gardens,artwork,Grey Street Fountain,art,3,-37.8115435409616,144.982950898766
36,Fitzroy Gardens,artwork,Boy and Urn,art,3,-37.8121217645873,144.97970321858
36,Fitzroy Gardens,artwork,Conservatory Fountain,art,3,-37.8138743431045,144.978595506099
109,Shrine of Remembrance Reserve,artwork,Man with the Donkey,art,3,-37.8294820404839,144.973858477761
72,Marquis of Linlithgow Memorial Reserve,artwork,Marquis of Linlithgow,art,3,-37.8266640358872,144.971916610826
30,Eight Hour Reserve,artwork,Eight Hour Day Memorial,art,3,-37.8071550195592,144.965588387005
63,Kings Domain South (Monash and Malta Monuments),artwork,Australian Hellenic War Memorial,art,3,-37.8272124550956,144.972973880253
20,City Square,artwork,Larry LaTrobe,art,3,-37.8155485668529,144.966892078324
93,Queen Victoria Gardens & Memorial Statue,artwork,Domed Drinking Fountain,art,3,-37.8212404231762,144.970769495267
122,The Kings Domain Reserve,artwork,Tilly Aston Bell,art,3,-37.8253717117323,144.975900201821
93,Queen Victoria Gardens & Memorial Statue,artwork,The Pathfinder,art,3,-37.8220280738117,144.970355228248
21,Clayton Reserve,artwork,Clayton Reserve Drinking Fountain,art,3,-37.7956635739188,144.938934811008
93,Queen Victoria Gardens & Memorial Statue,artwork,Farnex Hercules,art,3,-37.8211093204271,144.969673137809
67,Lincoln Square,artwork,Bali Memorial,art,3,-37.8024246248361,144.963256124373
15,Carlton Gardens South,artwork,Exhibition Fountain,art,3,-37.805456726498,144.971368298725
36,Fitzroy Gardens,artwork,River God Fountain,art,3,-37.8104167138709,144.980882423414
93,Queen Victoria Gardens & Memorial Statue,artwork,The Genie,art,3,-37.8214877401729,144.971194700662
36,Fitzroy Gardens,artwork,Temple of the Winds,art,3,-37.8128096374869,144.981735857931
93,Queen Victoria Gardens & Memorial Statue,artwork,Lady Janet Clarke Memorial,art,3,-37.8223354912272,144.971835332477
122,The Kings Domain Reserve,artwork,Walker Fountain,art,3,-37.8235489328706,144.970827540478
109,Shrine of Remembrance Reserve,artwork,Macpherson Robertson Fountain,art,3,-37.8323774569183,144.972934293353
8,Birrarung Marr,artwork,Stapley Memorial Drinking Fountain,art,3,-37.8189109575006,144.973021274734
44,Gordon Reserve,artwork,General Charles Gordon Memorial,art,3,-37.8127260372375,144.973942531552
44,Gordon Reserve,artwork,Stanford Fountain,art,3,-37.8124342889143,144.973955482708
101,Royal Park,artwork,Burke and Wills Cairn,art,3,-37.7889280817664,144.956058081184
83,Parliament Gardens,artwork,Coles Fountain,art,3,-37.8097706189194,144.973483976518
93,Queen Victoria Gardens & Memorial Statue,artwork,The Phoenix,art,3,-37.8221532701427,144.97095067818
15,Carlton Gardens South,artwork,Spray Lake,art,3,-37.8058096647951,144.972528813493
122,The Kings Domain Reserve,artwork,Grotto Waterfall,art,3,-37.8256393190193,144.976761073829
2,Alexandra Park,artwork,Black Swan Memorial Drinking Fountain,art,3,-37.8195705617737,144.971824407255
36,Fitzroy Gardens,artwork,Captain Cook,art,3,-37.8145792919449,144.979494361804
36,Fitzroy Gardens,artwork,Statue of Meditation,art,3,-37.813953837555,144.978577485077
48,Hardy Reserve,artwork,Councillor William Cook Memorial Drinking Fountain,art,3,-37.7852874613137,144.966190055728
122,The Kings Domain Reserve,artwork,King George V,art,3,-37.8242726516388,144.973213430025
37,Flagstaff Gardens,artwork,Pioneer Monument,art,3,-37.810801327848,144.953954497374
83,Parliament Gardens,artwork,Pastor Sir Doug and Lady Gladys Nicholls,art,3,-37.8100230422747,144.973642124927
95,Railway Viewing Platform,artwork,Railway Viewing Platform,art,3,-37.8088169283775,144.943688304136
44,Gordon Reserve,artwork,Adam Lindsay Gordan Memorial,art,3,-37.8123635338167,144.97374504876
8,Birrarung Marr,artwork,Angel,art,3,-37.8189542313538,144.972959186532
122,The Kings Domain Reserve,landmark,Kings Domain,nature,1,-37.8255239795833,144.974107925144
136,Yarra Park,landmark,National Sports Museum,art,3,-37.8189544909462,144.984669809381
37,Flagstaff Gardens,landmark,Flagstaff Gardens,nature,1,-37.8111222889277,144.954696055235
134,Westgate Park,landmark,Westgate Park,nature,1,-37.8314918578874,144.908824792698
36,Fitzroy Gardens,landmark,Fitzroy Gardens,nature,1,-37.8129616331579,144.980455714669
116,State Library Forecourt,landmark,State Library Victoria,urban,2,-37.8099852201226,144.964330322397
3,Argyle Square,landmark,Argyle Square,nature,1,-37.8031480577285,144.965761295089
99,Royal Botanic Gardens - Melbourne,landmark,Royal Botanic Gardens,nature,1,-37.8306631583233,144.980850432751
26,Darling Square,landmark,Darling Square,nature,1,-37.81299206932,144.989062559512
83,Parliament Gardens,landmark,Parliament Reserve,nature,1,-37.809852620638,144.973462202839
36,Fitzroy Gardens,landmark,Conservatory,urban,2,-37.814002127195,144.9785597431
70,Macarthur Square,landmark,Macarthur Square,nature,1,-37.7983318676737,144.971514146104
36,Fitzroy Gardens,landmark,Cooks' Cottage,art,3,-37.8144604899837,144.979471339826
109,Shrine of Remembrance Reserve,landmark,Shrine of Rembrance Reserve,nature,1,-37.8320733992876,144.973628364465
