park_id,park_name,feature_source,feature_name,feature_category,series_id,latitude,longitude
35,Fawkner Park,tree,English Elm,nature,1,-37.83876297,144.9788292
123,The Kings Domain and Tan,tree,Dutch Elm,nature,1,-37.82234344,144.9727852
36,Fitzroy Gardens,tree,Moreton Bay Fig,nature,1,-37.81533175,144.9806094
15,Carlton Gardens South,tree,Moreton Bay Fig,nature,1,-37.80567486,144.9729931
36,Fitzroy Gardens,tree,Toromeo,nature,1,-37.81549009,144.9814343
36,Fitzroy Gardens,tree,Senegal Date Palm,nature,1,-37.81171008,144.9823619
35,Fawkner Park,tree,Moreton Bay Fig,nature,1,-37.83852547,144.9812614
61,Kings Domain South,tree,Toromeo,nature,1,-37.83377924,144.9832977
37,Flagstaff Gardens,tree,Moreton Bay Fig,nature,1,-37.81025511,144.9539096
101,Royal Park,tree,Drooping sheoak,nature,1,-37.78855902,144.9545058
36,Fitzroy Gardens,tree,English Elm,nature,1,-37.81426645,144.9791577
61,Kings Domain South,tree,Moreton Bay Fig,nature,1,-37.83290136,144.9777687
101,Royal Park,tree,River red gum,nature,1,-37.79254858,144.9517251
124,Treasury Gardens,tree,European Fan Palm,nature,1,-37.81288111,144.9769615
61,Kings Domain South,tree,Monterey Cypress,nature,1,-37.83260935,144.9778895
109,Shrine of Remembrance Reserve,tree,Snow-in-Summer,nature,1,-37.82866934,144.9718779
14,Carlton Gardens North,tree,Toromeo,nature,1,-37.80220426,144.970043
36,Fitzroy Gardens,tree,Peppercorn Tree,nature,1,-37.81543559,144.9790686
93,Queen Victoria Gardens & Memorial Statue,tree,Silver maple,nature,1,-37.82137597,144.9716087
93,Queen Victoria Gardens & Memorial Statue,tree,Camphor Laurel,nature,1,-37.82179439,144.9708142
76,Murchison Square,tree,English Elm,nature,1,-37.80000618,144.9727086
109,Shrine of Remembrance Reserve,tree,Golden Poplar,nature,1,-37.831243,144.9724746
123,The Kings Domain and Tan,tree,Sugar gum,nature,1,-37.82234778,144.9735354
61,Kings Domain South,tree,Ironbark,nature,1,-37.83372709,144.9835835
37,Flagstaff Gardens,tree,Holm Oak,nature,1,-37.81048206,144.9554857
61,Kings Domain South,tree,Monterey Pine,nature,1,-37.83291108,144.9776368
109,Shrine of Remembrance Reserve,tree,London Plane,nature,1,-37.83152434,144.9733736
61,Kings Domain South,tree,Yate,nature,1,-37.83398159,144.9826725
128,Warun Biik Park,tree,Peppercorn Tree,nature,1,-37.79655475,144.9259594
61,Kings Domain South,tree,Spotted Gum,nature,1,-37.83324933,144.9788924
101,Royal Park,tree,Sugar gum,nature,1,-37.78952873,144.9483889
35,Fawkner Park,tree,Sugar gum,nature,1,-37.83826732,144.9812869
124,Treasury Gardens,tree,Willow myrtle,nature,1,-37.81333331,144.9758189
93,Queen Victoria Gardens & Memorial Statue,tree,Lemon Scented Gum,nature,1,-37.82112612,144.9695347
93,Queen Victoria Gardens & Memorial Statue,tree,Bangalay,nature,1,-37.82098345,144.9701169
36,Fitzroy Gardens,tree,Golden Carolina Poplar,nature,1,-37.81276395,144.9802129
36,Fitzroy Gardens,tree,Monterey Cypress,nature,1,-37.81030965,144.9811935
61,Kings Domain South,tree,English Elm,nature,1,-37.83305694,144.9771839
61,Kings Domain South,tree,Hoop Pine,nature,1,-37.83178914,144.9771396
15,Carlton Gardens South,tree,London Plane,nature,1,-37.80625135,144.9720616
37,Flagstaff Gardens,tree,English Elm,nature,1,-37.8094358,144.9550902
65,Leveson Street Reserve,tree,Bangalay,nature,1,-37.8007627,144.9515973
37,Flagstaff Gardens,tree,Golden Poplar,nature,1,-37.81094679,144.954982
36,Fitzroy Gardens,tree,Port Jackson or Rusty Fig,nature,1,-37.81049175,144.9827947
36,Fitzroy Gardens,tree,Canary Island Pine,nature,1,-37.81037767,144.9818686
36,Fitzroy Gardens,tree,Grey Gum,nature,1,-37.81468473,144.9816395
35,Fawkner Park,tree,Lemon Scented Gum,nature,1,-37.83799753,144.9795753
67,Lincoln Square,tree,Willow Leaf Peppermint,nature,1,-37.80260335,144.9628518
14,Carlton Gardens North,tree,Rough-barked apple,nature,1,-37.80151858,144.9701018
15,Carlton Gardens South,tree,White Poplar,nature,1,-37.80718428,144.9730282
101,Royal Park,tree,Yellow Box,nature,1,-37.78878748,144.9536933
14,Carlton Gardens North,tree,Smooth-Leaved Elm,nature,1,-37.80300228,144.973595
14,Carlton Gardens North,tree,Huntingdon Elm,nature,1,-37.80281552,144.9736956
37,Flagstaff Gardens,tree,Spotted Gum,nature,1,-37.80981306,144.9543567
37,Flagstaff Gardens,tree,Sugar gum,nature,1,-37.80960829,144.9530884
101,Royal Park,tree,Black Wattle,nature,1,-37.79332617,144.9542687
14,Carlton Gardens North,tree,Bangalay,nature,1,-37.80287719,144.9703286
124,Treasury Gardens,tree,Smooth-Leaved Elm,nature,1,-37.8142363,144.9751095
37,Flagstaff Gardens,tree,Wych Elm,nature,1,-37.81095016,144.9547819
37,Flagstaff Gardens,tree,Dutch Elm,nature,1,-37.8115075,144.9545016
124,Treasury Gardens,tree,Weeping Myrtle,nature,1,-37.81396245,144.9763762
124,Treasury Gardens,tree,Canary Island Date Palm,nature,1,-37.81293396,144.9767958
35,Fawkner Park,tree,Canary Island Pine,nature,1,-37.83801053,144.9777976
35,Fawkner Park,tree,English Oak,nature,1,-37.8447114,144.9840996
14,Carlton Gardens North,tree,Turkey Oak,nature,1,-37.802185,144.9721929
15,Carlton Gardens South,tree,Wych Elm,nature,1,-37.80592762,144.9708332
40,Gardiner Reserve,tree,English Elm,nature,1,-37.79898086,144.944011
56,Kensington Banks Small Reserves,tree,White Poplar,nature,1,-37.7908858,144.9225955
56,Kensington Banks Small Reserves,tree,Moreton Bay Fig,nature,1,-37.79310319,144.9196312
14,Carlton Gardens North,tree,Prickly Paperbark,nature,1,-37.80223642,144.9710311
36,Fitzroy Gardens,tree,Queensland kauri pine,nature,1,-37.81484892,144.9813624
35,Fawkner Park,tree,Yellow Gum,nature,1,-37.84157809,144.9834826
35,Fawkner Park,tree,Camphor Laurel,nature,1,-37.83884956,144.9785039
15,Carlton Gardens South,tree,Chinese weeping cypress,nature,1,-37.80528806,144.9703165
124,Treasury Gardens,tree,English Ash,nature,1,-37.81447024,144.9754447
52,Howard & William Street Reserve,tree,Canary Island Pine,nature,1,-37.80639337,144.9537596
124,Treasury Gardens,tree,English Oak,nature,1,-37.81342802,144.9754202
35,Fawkner Park,tree,Monterey Pine,nature,1,-37.83736283,144.9780224
125,University Square,tree,Camphor Laurel,nature,1,-37.80170684,144.9597765
52,Howard & William Street Reserve,tree,Lightwood Wattle,nature,1,-37.80672103,144.9536434
128,Warun Biik Park,tree,Lightwood Wattle,nature,1,-37.79689904,144.9265035
128,Warun Biik Park,tree,Bog gum,nature,1,-37.79677611,144.9265639
128,Warun Biik Park,tree,Smooth-barked apple,nature,1,-37.79623513,144.9266573
126,Victoria Green,tree,Queensland kauri pine,nature,1,-37.82044246,144.945304
126,Victoria Green,tree,Lemon Scented Gum,nature,1,-37.8201315,144.9450213
91,Quay Park,tree,Hoop Pine,nature,1,-37.81562586,144.9378488
37,Flagstaff Gardens,tree,English Oak,nature,1,-37.81071895,144.9557177
124,Treasury Gardens,tree,Golden Elm,nature,1,-37.81461615,144.9769993
124,Treasury Gardens,tree,Lombardy Poplar,nature,1,-37.81347997,144.9762713
14,Carlton Gardens North,tree,Dutch Elm,nature,1,-37.80244229,144.9738138
14,Carlton Gardens North,tree,Yellow Chestnut Oak,nature,1,-37.80161816,144.9734368
15,Carlton Gardens South,tree,Algerian Oak,nature,1,-37.80664765,144.9715919
15,Carlton Gardens South,tree,Deodar,nature,1,-37.80624299,144.9704135
6,Bayswater Road Park,tree,Lemon Scented Gum,nature,1,-37.79359821,144.9235991
9,Buluk Park,tree,Algerian Oak,nature,1,-37.82041403,144.940562
101,Royal Park,tree,Wirilda,nature,1,-37.79427511,144.953096
14,Carlton Gardens North,tree,Peppercorn Tree,nature,1,-37.80098403,144.9711781
37,Flagstaff Gardens,tree,Maidenhair Tree,nature,1,-37.80996376,144.9537553
101,Royal Park,tree,Silver Wattle,nature,1,-37.78304515,144.9413525
133,Westbourne Road Reserve,tree,Huntingdon Elm,nature,1,-37.79306422,144.9203291
9,Buluk Park,tree,English Oak,nature,1,-37.82020612,144.9408042
37,Flagstaff Gardens,tree,Golden Elm,nature,1,-37.81172722,144.9538351
56,Kensington Banks Small Reserves,tree,English Oak,nature,1,-37.79670289,144.9204171
52,Howard & William Street Reserve,tree,Kanooka,nature,1,-37.8069909,144.9535926
13,Canning Street & Macaulay Road Reserve,tree,Dutch Elm,nature,1,-37.79605854,144.9399302
40,Gardiner Reserve,tree,London Plane,nature,1,-37.7990377,144.943436
37,Flagstaff Gardens,tree,Bunya pine,nature,1,-37.81174011,144.9554287
126,Victoria Green,tree,White Peppermint,nature,1,-37.8203612,144.9452706
128,Warun Biik Park,tree,Black Wattle,nature,1,-37.79601328,144.9252757
49,Hawke & Adderley Street Park,tree,Australian Frangipani,nature,1,-37.80863137,144.9448321
